Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,122,7,Some Random Commen with Id 0
1,0,8,80,5,Some Random Commen with Id 1
2,0,8,194,7,Some Random Commen with Id 2
3,0,8,43,2,Some Random Commen with Id 3
4,0,8,71,2,Some Random Commen with Id 4
5,1,5,108,9,Some Random Commen with Id 5
6,1,5,191,8,Some Random Commen with Id 6
7,1,5,177,2,Some Random Commen with Id 7
8,1,5,148,8,Some Random Commen with Id 8
9,1,5,52,0,Some Random Commen with Id 9
10,2,2,68,6,Some Random Commen with Id 10
11,2,2,160,6,Some Random Commen with Id 11
12,2,2,62,0,Some Random Commen with Id 12
13,2,2,150,6,Some Random Commen with Id 13
14,2,2,183,4,Some Random Commen with Id 14
15,2,2,145,7,Some Random Commen with Id 15
16,2,2,68,2,Some Random Commen with Id 16
17,2,2,38,8,Some Random Commen with Id 17
18,3,8,18,7,Some Random Commen with Id 18
19,3,8,43,7,Some Random Commen with Id 19
20,3,8,77,5,Some Random Commen with Id 20
21,3,8,84,7,Some Random Commen with Id 21
22,3,8,36,1,Some Random Commen with Id 22
23,3,8,195,7,Some Random Commen with Id 23
24,3,8,68,4,Some Random Commen with Id 24
25,3,8,93,3,Some Random Commen with Id 25
26,4,4,45,3,Some Random Commen with Id 26
27,4,4,91,2,Some Random Commen with Id 27
28,4,4,12,1,Some Random Commen with Id 28
29,4,4,37,2,Some Random Commen with Id 29
30,4,4,68,8,Some Random Commen with Id 30
31,4,4,79,2,Some Random Commen with Id 31
32,4,4,55,4,Some Random Commen with Id 32
33,4,4,170,3,Some Random Commen with Id 33
34,6,2,193,1,Some Random Commen with Id 34
35,7,1,107,2,Some Random Commen with Id 35
36,7,1,159,5,Some Random Commen with Id 36
37,7,1,14,4,Some Random Commen with Id 37
38,7,1,198,7,Some Random Commen with Id 38
39,8,8,132,9,Some Random Commen with Id 39
40,8,8,165,2,Some Random Commen with Id 40
41,9,1,40,2,Some Random Commen with Id 41
42,9,1,17,8,Some Random Commen with Id 42
43,9,1,14,2,Some Random Commen with Id 43
44,9,1,142,8,Some Random Commen with Id 44
45,9,1,130,4,Some Random Commen with Id 45
46,10,0,164,8,Some Random Commen with Id 46
47,10,0,46,2,Some Random Commen with Id 47
48,10,0,71,3,Some Random Commen with Id 48
49,10,0,68,9,Some Random Commen with Id 49
50,10,0,10,0,Some Random Commen with Id 50
51,10,0,75,5,Some Random Commen with Id 51
52,10,0,145,9,Some Random Commen with Id 52
53,10,0,53,9,Some Random Commen with Id 53
54,11,7,36,9,Some Random Commen with Id 54
55,11,7,106,0,Some Random Commen with Id 55
56,12,6,171,3,Some Random Commen with Id 56
57,12,6,170,1,Some Random Commen with Id 57
58,12,6,193,6,Some Random Commen with Id 58
59,12,6,156,4,Some Random Commen with Id 59
60,12,6,33,7,Some Random Commen with Id 60
61,12,6,112,3,Some Random Commen with Id 61
62,12,6,116,4,Some Random Commen with Id 62
63,12,6,58,2,Some Random Commen with Id 63
64,13,7,98,5,Some Random Commen with Id 64
65,13,7,125,3,Some Random Commen with Id 65
66,13,7,66,7,Some Random Commen with Id 66
67,13,7,37,9,Some Random Commen with Id 67
68,13,7,176,6,Some Random Commen with Id 68
69,14,2,192,2,Some Random Commen with Id 69
70,14,2,82,0,Some Random Commen with Id 70
71,15,0,96,8,Some Random Commen with Id 71
72,16,1,117,9,Some Random Commen with Id 72
73,16,1,115,0,Some Random Commen with Id 73
74,16,1,183,8,Some Random Commen with Id 74
75,16,1,82,0,Some Random Commen with Id 75
76,16,1,172,8,Some Random Commen with Id 76
77,16,1,143,0,Some Random Commen with Id 77
78,16,1,156,6,Some Random Commen with Id 78
79,17,3,28,7,Some Random Commen with Id 79
80,17,3,38,6,Some Random Commen with Id 80
81,17,3,116,3,Some Random Commen with Id 81
82,17,3,61,0,Some Random Commen with Id 82
83,17,3,30,6,Some Random Commen with Id 83
84,19,9,124,2,Some Random Commen with Id 84
85,19,9,188,6,Some Random Commen with Id 85
86,19,9,34,3,Some Random Commen with Id 86
87,19,9,82,3,Some Random Commen with Id 87
88,19,9,57,5,Some Random Commen with Id 88
89,19,9,154,2,Some Random Commen with Id 89
90,19,9,94,9,Some Random Commen with Id 90
91,19,9,177,4,Some Random Commen with Id 91
92,20,8,199,0,Some Random Commen with Id 92
93,20,8,163,2,Some Random Commen with Id 93
94,21,9,196,8,Some Random Commen with Id 94
95,21,9,67,9,Some Random Commen with Id 95
96,21,9,4,2,Some Random Commen with Id 96
97,21,9,86,5,Some Random Commen with Id 97
98,21,9,3,9,Some Random Commen with Id 98
99,21,9,49,2,Some Random Commen with Id 99
